blockHash,blockNumber,tokenId,oldPrice,newPrice,prevOwner,winner,name
0x0a88a402a0832fb6db493e7a136b0cd377c4eded168edaffa1e8b5a67985509d,5104777,129,385765734903866464,512986349606205404,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,0x0a3FF6209ebcd7401fBA0ED5AFE56FAD353EF7b7,@theartistcoach
0x0a88a402a0832fb6db493e7a136b0cd377c4eded168edaffa1e8b5a67985509d,5104777,127,92771131244557002,123365866016698140,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@LuminousNebulae
0x0a88a402a0832fb6db493e7a136b0cd377c4eded168edaffa1e8b5a67985509d,5104777,127,123365866016698140,164050353745609228,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@LuminousNebulae
0x0e6fe751110cdaef72acf234221c369348d5cf9580da4692f6abbfdff0597ec5,5104778,131,20493142891922642,43602431684941791,0x2C37f2c08F934bA22BF980600e3660d987864034,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@BryceWeiner
0x0bab4bb40278c378c1390ba1fae0cb0c905a1bb7bcc8a1f4c8e0237677e14c95,5104779,134,2127659574468085,4526935264825712,0x2C37f2c08F934bA22BF980600e3660d987864034,0xe204861C8CF513f9646566a67ACe951E22A7D045,@doc_bitcoin
0x0bab4bb40278c378c1390ba1fae0cb0c905a1bb7bcc8a1f4c8e0237677e14c95,5104779,139,9631777159203642,20493142891922642,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,0xbB1c298226157fBA45Ed112772B1C1BA655B7749,@TehJoeCow
0x5d8f2da37c365f4cd3a4e2ce1eb0354bdadec214dae5f36e313b6a1a2c0ff6f1,5104781,132,20493142891922642,43602431684941791,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,0x72b9D561D9EeFF069d9B28A568C65945174f9E0B,@MaxN0rmal
0x5d8f2da37c365f4cd3a4e2ce1eb0354bdadec214dae5f36e313b6a1a2c0ff6f1,5104781,138,4526935264825712,9631777159203642,0x32E2f310dD2996AC37fe0Ce255e5Ce1C1ffCdA76,0xbc5Ed07eF6823c434D0a7361DC88052F9dBFA5dD,@CryptoeyJoey
0x9e9ac2ce8169ac4eaba5ba44379d69f6b1487821337f6a46c166815b213ec69b,5104782,127,164050353745609228,218152066151076101,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@LuminousNebulae
0x2522f871f6c357fa8cc8434892c026053027956e76d7fdb4d4c115c0f6b5c1fa,5104783,131,43602431684941791,92771131244557002,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0xe19089602Cf169Fe1DA167b00e58430ed61d3217,@BryceWeiner
